lat,lng,risk,geo_4,geo_8,date
40.49,-74.3,0.0,dr5n,dr5nm6br,2020-03-29
40.5,-74.3,0.0,dr5n,dr5nmkb3,2020-03-29
40.5,-74.2,0.0,dr5n,dr5nrsc1,2020-03-29
40.51,-74.3,0.0,dr5n,dr5nmq87,2020-03-29
40.51,-74.2,0.0,dr5n,dr5nrw95,2020-03-29
40.51,-73.9,0.0,dr5q,dr5qqqee,2020-03-29
40.52,-74.3,0.0,dr5n,dr5nt22q,2020-03-29
40.52,-74.2,0.0,dr5n,dr5nx83n,2020-03-29
40.52,-74.1,0.49554344387621374,dr5q,dr5q9b6n,2020-03-29
40.53,-74.2,0.0,dr5n,dr5nxd30,2020-03-29
40.54,-74.3,0.0,dr5n,dr5ntk06,2020-03-29
40.54,-74.2,0.0,dr5n,dr5nxs14,2020-03-29
40.54,-74.1,0.0,dr5q,dr5q9u44,2020-03-29
40.55,-74.2,0.0,dr5n,dr5nxtch,2020-03-29
40.55,-74.1,0.0,dr5q,dr5q9vfh,2020-03-29
40.55,-73.9,0.4471173357528244,dr5q,dr5qwmgs,2020-03-29
40.55,-73.5,0.0,dr5w,dr5wxmyu,2020-03-29
40.56,-74.2,0.0,dr5n,dr5nxx9p,2020-03-29
40.56,-74.1,0.0,dr5q,dr5q9zdp,2020-03-29
40.56,-74.0,0.0,dr5q,dr5qspdz,2020-03-29
40.56,-73.9,0.0,dr5q,dr5qwrex,2020-03-29
40.57,-74.2,0.0,dr5n,dr5nz991,2020-03-29
40.57,-74.1,0.0,dr5q,dr5qccd1,2020-03-29
40.57,-74.0,0.0,dr5q,dr5qu1dc,2020-03-29
40.57,-73.9,0.0,dr5q,dr5qy3e9,2020-03-29
40.57,-73.8,0.6596776550850418,dr5w,dr5wb9s3,2020-03-29
40.58,-74.2,0.0,dr5n,dr5nze35,2020-03-29
40.58,-74.1,0.4672805462184348,dr5q,dr5qcg65,2020-03-29
40.58,-74.0,0.0,dr5q,dr5qu56g,2020-03-29
40.58,-73.9,0.4021305487997666,dr5q,dr5qy77e,2020-03-29
40.58,-73.8,0.0,dr5w,dr5wbek7,2020-03-29
40.58,-73.7,0.0,dr5w,dr5wfgm7,2020-03-29
40.58,-73.6,0.0,dr5w,dr5wv5q5,2020-03-29
40.59,-74.2,0.0,dr5n,dr5nzt1j,2020-03-29
40.59,-74.1,0.0,dr5q,dr5qcv4j,2020-03-29
40.59,-74.0,0.0,dr5q,dr5quj4v,2020-03-29
40.59,-73.9,0.0,dr5q,dr5qym5t,2020-03-29
40.59,-73.8,0.0,dr5w,dr5wbthm,2020-03-29
40.59,-73.7,0.0,dr5w,dr5wfvjm,2020-03-29
40.59,-73.6,0.0,dr5w,dr5wvjnj,2020-03-29
40.6,-74.2,0.0,dr5n,dr5nzx10,2020-03-29
40.6,-74.1,0.0,dr5q,dr5qcz40,2020-03-29
40.6,-74.0,0.0,dr5q,dr5qup4b,2020-03-29
40.6,-73.9,0.35122323856403065,dr5q,dr5qyr58,2020-03-29
40.6,-73.8,0.0,dr5w,dr5wbxh2,2020-03-29
40.6,-73.7,0.0,dr5w,dr5wfzj2,2020-03-29
40.6,-73.6,0.0,dr5w,dr5wvpn0,2020-03-29
40.6,-73.5,0.0,dr5w,dr5wzrnb,2020-03-29
40.61,-74.2,0.0,dr5p,dr5pp8c4,2020-03-29
40.61,-74.1,0.0,dr5r,dr5r1bf4,2020-03-29
40.61,-74.0,0.0,dr5r,dr5rh0ff,2020-03-29
40.61,-73.9,0.32206764028382073,dr5r,dr5rn2gd,2020-03-29
40.61,-73.8,0.0,dr5x,dr5x08u6,2020-03-29
40.61,-73.7,0.0,dr5x,dr5x4bv6,2020-03-29
40.61,-73.6,0.0,dr5x,dr5xj0y4,2020-03-29
40.61,-73.5,0.0,dr5x,dr5xp2yf,2020-03-29
40.61,-73.4,0.0,dr5z,dr5z18zf,2020-03-29
40.62,-74.2,0.0,dr5p,dr5ppd9h,2020-03-29
40.62,-74.1,0.0,dr5r,dr5r1fdh,2020-03-29
40.62,-74.0,0.0,dr5r,dr5rh4du,2020-03-29
40.62,-73.9,0.0,dr5r,dr5rn6es,2020-03-29
40.62,-73.8,0.0,dr5x,dr5x0dsk,2020-03-29
40.62,-73.7,0.0,dr5x,dr5x4ftk,2020-03-29
40.62,-73.6,0.32066811979733867,dr5x,dr5xj4wh,2020-03-29
40.62,-73.4,0.41112065243353213,dr5z,dr5z1dxu,2020-03-29
40.63,-74.2,0.0,dr5p,dr5pps3n,2020-03-29
40.63,-74.1,0.0,dr5r,dr5r1u6n,2020-03-29
40.63,-74.0,0.0,dr5r,dr5rhh6y,2020-03-29
40.63,-73.9,0.3180270088786264,dr5r,dr5rnk7w,2020-03-29
40.63,-73.8,0.0,dr5x,dr5x0skq,2020-03-29
40.63,-73.7,0.0,dr5x,dr5x4umq,2020-03-29
40.63,-73.6,0.0,dr5x,dr5xjhqn,2020-03-29
40.63,-73.4,0.0,dr5z,dr5z1sry,2020-03-29
40.63,-73.3,0.0,dr5z,dr5zhh2w,2020-03-29
40.63,-73.2,0.0,dr5z,dr5znk3q,2020-03-29
40.64,-74.2,0.0,dr5p,dr5ppw31,2020-03-29
40.64,-74.1,0.0,dr5r,dr5r1y61,2020-03-29
40.64,-74.0,0.0,dr5r,dr5rhn6c,2020-03-29
40.64,-73.9,0.2867487602228638,dr5r,dr5rnq79,2020-03-29
40.64,-73.8,0.0,dr5x,dr5x0wk3,2020-03-29
40.64,-73.7,0.0,dr5x,dr5x4ym3,2020-03-29
40.64,-73.6,0.0,dr5x,dr5xjnq1,2020-03-29
40.64,-73.5,0.0,dr5x,dr5xpqqc,2020-03-29
40.64,-73.4,0.0,dr5z,dr5z1wrc,2020-03-29
40.64,-73.3,0.0,dr5z,dr5zhn29,2020-03-29
40.64,-73.2,0.0,dr5z,dr5znq33,2020-03-29
40.65,-74.1,0.0,dr5r,dr5r3b45,2020-03-29
40.65,-74.0,0.44289083361817727,dr5r,dr5rk04g,2020-03-29
40.65,-73.9,0.3080661143146076,dr5r,dr5rq25e,2020-03-29
40.65,-73.8,0.43095064771237584,dr5x,dr5x28h7,2020-03-29
40.65,-73.7,0.33228448318930254,dr5x,dr5x6bj7,2020-03-29
40.65,-73.6,0.0,dr5x,dr5xm0n5,2020-03-29
40.65,-73.5,0.3155108754670559,dr5x,dr5xr2ng,2020-03-29
40.65,-73.4,0.0,dr5z,dr5z38pg,2020-03-29
40.65,-73.2,0.0,dr5z,dr5zq217,2020-03-29
40.65,-73.1,0.0,drhp,drhp2845,2020-03-29
40.66,-74.0,0.3035257380912433,dr5r,dr5rk1fv,2020-03-29
40.66,-73.9,0.2992456760916042,dr5r,dr5rq3gt,2020-03-29
40.66,-73.8,0.0,dr5x,dr5x29um,2020-03-29
40.66,-73.7,0.0,dr5x,dr5x6cvm,2020-03-29
40.66,-73.6,0.31898927520730463,dr5x,dr5xm1yj,2020-03-29
