lat,lon,risk
40.49,-74.3,0.0
40.5,-74.3,0.0
40.5,-74.2,0.0
40.51,-74.3,0.0
40.51,-74.2,0.0
40.51,-73.9,0.0
40.52,-74.3,0.0
40.52,-74.2,0.0
40.52,-74.1,0.49554344387621374
40.53,-74.2,0.0
40.54,-74.3,0.0
40.54,-74.2,0.0
40.54,-74.1,0.0
40.55,-74.2,0.0
40.55,-74.1,0.0
40.55,-73.9,0.4471173357528244
40.55,-73.5,0.0
40.56,-74.2,0.0
40.56,-74.1,0.0
40.56,-74.0,0.0
40.56,-73.9,0.0
40.57,-74.2,0.0
40.57,-74.1,0.0
40.57,-74.0,0.0
40.57,-73.9,0.0
40.57,-73.8,0.6596776550850418
40.58,-74.2,0.0
40.58,-74.1,0.4672805462184348
40.58,-74.0,0.0
40.58,-73.9,0.4021305487997666
40.58,-73.8,0.0
40.58,-73.7,0.0
40.58,-73.6,0.0
40.59,-74.2,0.0
40.59,-74.1,0.0
40.59,-74.0,0.0
40.59,-73.9,0.0
40.59,-73.8,0.0
40.59,-73.7,0.0
40.59,-73.6,0.0
40.6,-74.2,0.0
40.6,-74.1,0.0
40.6,-74.0,0.0
40.6,-73.9,0.35122323856403065
40.6,-73.8,0.0
40.6,-73.7,0.0
40.6,-73.6,0.0
40.6,-73.5,0.0
40.61,-74.2,0.0
40.61,-74.1,0.0
40.61,-74.0,0.0
40.61,-73.9,0.32206764028382073
40.61,-73.8,0.0
40.61,-73.7,0.0
40.61,-73.6,0.0
40.61,-73.5,0.0
40.61,-73.4,0.0
40.62,-74.2,0.0
40.62,-74.1,0.0
40.62,-74.0,0.0
40.62,-73.9,0.0
40.62,-73.8,0.0
40.62,-73.7,0.0
40.62,-73.6,0.32066811979733867
40.62,-73.4,0.41112065243353213
40.63,-74.2,0.0
40.63,-74.1,0.0
40.63,-74.0,0.0
40.63,-73.9,0.3180270088786264
40.63,-73.8,0.0
40.63,-73.7,0.0
40.63,-73.6,0.0
40.63,-73.4,0.0
40.63,-73.3,0.0
40.63,-73.2,0.0
40.64,-74.2,0.0
40.64,-74.1,0.0
40.64,-74.0,0.0
40.64,-73.9,0.2867487602228638
40.64,-73.8,0.0
40.64,-73.7,0.0
40.64,-73.6,0.0
40.64,-73.5,0.0
40.64,-73.4,0.0
40.64,-73.3,0.0
40.64,-73.2,0.0
40.65,-74.1,0.0
40.65,-74.0,0.44289083361817727
40.65,-73.9,0.3080661143146076
40.65,-73.8,0.43095064771237584
40.65,-73.7,0.33228448318930254
40.65,-73.6,0.0
40.65,-73.5,0.3155108754670559
40.65,-73.4,0.0
40.65,-73.2,0.0
40.65,-73.1,0.0
40.66,-74.0,0.3035257380912433
40.66,-73.9,0.2992456760916042
40.66,-73.8,0.0
40.66,-73.7,0.0
40.66,-73.6,0.31898927520730463
40.66,-73.5,0.0
40.66,-73.4,0.0
40.66,-73.1,0.0
40.67,-74.0,0.29014336435058874
40.67,-73.9,0.28553806829421985
40.67,-73.8,0.4151047356796539
40.67,-73.7,0.0
40.67,-73.6,0.27259736921572125
40.67,-73.5,0.0
40.67,-73.4,0.0
40.67,-73.3,0.0
40.68,-74.0,0.32417081763299777
40.68,-73.9,0.28843373158923874
40.68,-73.8,0.0
40.68,-73.7,0.0
40.68,-73.6,0.2741695292444317
40.68,-73.5,0.0
40.68,-73.4,0.0
40.68,-73.3,0.0
40.69,-74.0,0.3132320941971133
40.69,-73.9,0.37193763323179535
40.69,-73.8,0.0
40.69,-73.7,0.0
40.69,-73.6,0.27841889445947693
40.69,-73.5,0.0
40.69,-73.4,0.0
40.69,-73.3,0.0
40.7,-74.0,0.32094724637215294
40.7,-73.9,0.0
40.7,-73.8,0.0
40.7,-73.7,0.0
40.7,-73.6,0.24129729470386402
40.7,-73.5,0.30777435406501175
40.7,-73.4,0.0
40.7,-73.3,0.0
40.7,-73.2,0.0
40.71,-74.0,0.42833991541933925
40.71,-73.9,0.3512016473366657
40.71,-73.8,0.0
40.71,-73.7,0.0
40.71,-73.6,0.27873166157046786
40.71,-73.5,0.28578267775901406
40.71,-73.4,0.0
40.71,-73.3,0.0
40.71,-73.2,0.0
40.72,-74.0,0.0
40.72,-73.9,0.39700739672952795
40.72,-73.8,0.0
40.72,-73.7,0.3303810566471264
40.72,-73.6,0.25757827675151795
40.72,-73.5,0.2934779757801569
40.72,-73.4,0.0
40.72,-73.3,0.0
40.72,-73.2,0.0
40.72,-73.1,0.0
40.73,-74.0,0.0
40.73,-73.9,0.0
40.73,-73.8,0.0
40.73,-73.7,0.0
40.73,-73.6,0.29624807842408307
40.73,-73.5,0.0
40.73,-73.4,0.0
40.73,-73.3,0.0
40.73,-73.2,0.0
40.73,-73.1,0.0
40.73,-73.0,0.34578006777608816
40.73,-72.9,0.0
40.74,-74.0,0.0
40.74,-73.9,0.0
40.74,-73.8,0.0
40.74,-73.7,0.27944392213015457
40.74,-73.6,0.3142062144693395
40.74,-73.5,0.27134953406950774
40.74,-73.4,0.0
40.74,-73.3,0.0
40.74,-73.2,0.0
40.74,-73.1,0.0
40.74,-73.0,0.0
40.74,-72.9,0.0
40.75,-74.0,0.0
40.75,-73.9,0.0
40.75,-73.8,0.0
40.75,-73.7,0.0
40.75,-73.6,0.2744306668873531
40.75,-73.5,0.30068728918384874
40.75,-73.4,0.0
40.75,-73.3,0.0
40.75,-73.2,0.0
40.75,-73.1,0.0
40.75,-73.0,0.0
40.75,-72.9,0.301150862191085
40.75,-72.8,0.28971524649523483
40.76,-74.0,0.0
40.76,-73.9,0.0
40.76,-73.8,0.0
40.76,-73.7,0.0
40.76,-73.6,0.25434780126608464
40.76,-73.5,0.3219809037691102
40.76,-73.4,0.0
40.76,-73.3,0.0
40.76,-73.2,0.0
40.76,-73.1,0.0
40.76,-73.0,0.0
40.76,-72.9,0.0
40.76,-72.8,0.2863872991333205
40.77,-74.0,0.0
40.77,-73.9,0.0
40.77,-73.8,0.0
40.77,-73.7,0.28985692892391796
40.77,-73.6,0.2526745619048257
40.77,-73.5,0.34597639782667633
40.77,-73.4,0.0
40.77,-73.3,0.0
40.77,-73.2,0.0
40.77,-73.1,0.0
40.77,-73.0,0.0
40.77,-72.9,0.0
40.77,-72.8,0.0
40.77,-72.7,0.0
40.78,-74.0,0.0
40.78,-73.9,0.0
40.78,-73.8,0.0
40.78,-73.7,0.0
40.78,-73.6,0.30752051161856453
40.78,-73.5,0.28984125998060395
40.78,-73.4,0.0
40.78,-73.3,0.0
40.78,-73.2,0.0
40.78,-73.1,0.0
40.78,-73.0,0.0
40.78,-72.9,0.2823710111869632
40.78,-72.8,0.32831354335828505
40.78,-72.7,0.0
40.79,-74.0,0.0
40.79,-73.9,0.0
40.79,-73.8,0.0
40.79,-73.7,0.0
40.79,-73.6,0.2494783938724141
40.79,-73.5,0.2840565875804801
40.79,-73.4,0.0
40.79,-73.3,0.0
40.79,-73.2,0.0
40.79,-73.1,0.0
40.79,-73.0,0.0
40.79,-72.9,0.28808201742578393
40.79,-72.8,0.2981326244971705
40.79,-72.7,0.3480513053970105
40.79,-72.6,0.0
40.8,-74.0,0.0
40.8,-73.9,0.0
40.8,-73.8,0.0
40.8,-73.7,0.0
40.8,-73.6,0.3189424446741913
40.8,-73.5,0.3392395240795361
40.8,-73.4,0.0
40.8,-73.3,0.0
40.8,-73.2,0.0
40.8,-73.1,0.0
40.8,-73.0,0.0
40.8,-72.9,0.24791637388213697
40.8,-72.8,0.0
40.8,-72.7,0.3025005729691276
40.8,-72.6,0.45148696433599494
40.81,-74.0,0.0
40.81,-73.9,0.0
40.81,-73.8,0.0
40.81,-73.7,0.0
40.81,-73.6,0.33713424589049323
40.81,-73.5,0.31666248630410626
40.81,-73.4,0.0
40.81,-73.3,0.0
40.81,-73.2,0.0
40.81,-73.1,0.0
40.81,-73.0,0.0
40.81,-72.9,0.29556428830598935
40.81,-72.8,0.25781122319749783
40.81,-72.7,0.3038674470785768
40.81,-72.6,0.33752282671798506
40.82,-74.0,0.0
40.82,-73.9,0.0
40.82,-73.8,0.0
40.82,-73.7,0.0
40.82,-73.6,0.0
40.82,-73.5,0.0
40.82,-73.4,0.0
40.82,-73.3,0.0
40.82,-73.2,0.0
40.82,-73.1,0.0
40.82,-73.0,0.0
40.82,-72.9,0.30050469895504456
40.82,-72.8,0.33140826067333035
40.82,-72.7,0.28985189014128826
40.82,-72.6,0.0
40.83,-74.0,0.0
40.83,-73.9,0.0
40.83,-73.8,0.10483572514562217
40.83,-73.7,0.0
40.83,-73.6,0.28721970154395754
40.83,-73.5,0.0
40.83,-73.4,0.0
40.83,-73.3,0.0
40.83,-73.2,0.0
40.83,-73.1,0.0
40.83,-73.0,0.0
40.83,-72.9,0.3111877731824444
40.83,-72.8,0.31529519148835466
40.83,-72.7,0.2933315444723039
40.83,-72.6,0.0
40.83,-72.5,0.0
40.84,-74.0,0.0
40.84,-73.9,0.0
40.84,-73.8,0.0
40.84,-73.7,0.0
40.84,-73.6,0.3021894082032956
40.84,-73.5,0.0
40.84,-73.4,0.0
40.84,-73.3,0.0
40.84,-73.2,0.0
40.84,-73.1,0.0
40.84,-73.0,0.3117646044677599
40.84,-72.9,0.3045348488353705
40.84,-72.8,0.2790357695682348
40.84,-72.7,0.0
40.84,-72.6,0.0
40.84,-72.5,0.0
40.85,-74.0,0.11051849966421634
40.85,-73.9,0.0
40.85,-73.8,0.0
40.85,-73.7,0.08492094163053857
40.85,-73.6,0.0
40.85,-73.5,0.0
40.85,-73.4,0.0
40.85,-73.3,0.0
40.85,-73.2,0.0
40.85,-73.1,0.0
40.85,-73.0,0.26951361405554497
40.85,-72.9,0.3148493987691051
40.85,-72.8,0.31626668441593864
40.85,-72.7,0.27969748188911103
40.85,-72.6,0.0
40.85,-72.5,0.0
40.85,-72.4,0.0
40.86,-73.9,0.0
40.86,-73.8,0.07849018744700394
40.86,-73.7,0.08313936808775692
40.86,-73.6,0.0
40.86,-73.5,0.0
40.86,-73.4,0.0
40.86,-73.3,0.0
40.86,-73.2,0.0
40.86,-73.1,0.0
40.86,-73.0,0.28255959984414913
40.86,-72.9,0.2248732237460788
40.86,-72.8,0.28484770090226713
40.86,-72.7,0.3057624306018537
40.86,-72.6,0.0
40.86,-72.5,0.0
40.86,-72.4,0.0
40.87,-73.9,0.0
40.87,-73.8,0.06372979953325401
40.87,-73.7,0.0
40.87,-73.6,0.0
40.87,-73.5,0.0
40.87,-73.4,0.0
40.87,-73.3,0.0
40.87,-73.2,0.0
40.87,-73.1,0.0
